2.30547 0.969024 0.150737 8.53459 0.0186427 -0.0127836 0.006924430.0107,-0.0004,0.0714,0.7091,0.02996,0.03127,-0.70378
2.4055 0.978594 0.167486 8.51784 0.0175774 -0.0127836 0.006924430.0107,-0.0004,0.0714,0.7091,0.02886,0.03119,-0.70383
2.5055 0.940312 0.172271 8.57526 0.0191753 -0.0175774 0.01118560.0109,-0.0001,0.0717,0.70892,0.03012,0.0315,-0.70394
2.60541 0.928349 0.119633 8.55612 0.0202406 -0.0149142 0.009055020.0107,-0.0003,0.0718,0.70944,0.0304,0.03136,-0.70341
2.70559 0.906815 0.136381 8.54416 0.0143815 -0.0138489 0.009055020.0106,-0.0005,0.0712,0.70824,0.02878,0.03178,-0.70467
2.80554 0.858962 0.181841 8.51305 0.019708 -0.0165121 0.006924430.0108,-0.0002,0.0716,0.70962,0.03053,0.031,-0.70324
2.90552 0.98338 0.160308 8.44606 0.0218386 -0.0149142 0.005859130.0105,-0.0006,0.0716,0.70971,0.03045,0.03098,-0.70315
3.00552 1.0097 0.189019 8.61354 0.0170448 -0.0154468 0.009587670.0109,-0.0001,0.0718,0.70939,0.03082,0.03114,-0.70346
3.1054 0.980987 0.11724 8.53219 0.0207733 -0.0165121 0.006391780.0108,-0.0002,0.072,0.7097,0.03088,0.03219,-0.70309
3.20559 0.930741 0.181841 8.56569 0.019708 -0.0117183 0.01012030.0106,-0.0003,0.0716,0.70934,0.03011,0.0321,-0.70349
3.30554 0.959453 0.157915 8.63986 0.0202406 -0.010653 0.009587670.0108,-0.0003,0.0716,0.70883,0.02982,0.03142,-0.70405
3.40553 0.902029 0.172271 8.54416 0.0170448 -0.0149142 0.007989730.0105,-0.0003,0.0716,0.70975,0.03,0.03281,-0.70305
3.50553 0.870925 0.114847 8.50587 0.0175774 -0.010653 0.008522380.0104,-0.0005,0.0716,0.70993,0.02996,0.03113,-0.70294
3.60553 0.882888 0.0837428 8.48195 0.0207733 -0.0117183 0.007989730.0107,-0.0003,0.0716,0.70957,0.0306,0.0316,-0.70326
3.70581 1.00252 0.102884 8.57526 0.01811 -0.0143815 0.009055020.0107,-0.0002,0.0719,0.70968,0.03092,0.03115,-0.70316
