t x_meas y_meas z_meas q0_meas q1_meas q2_meas q3_meas ax_meas ay_meas az_meas wx_meas wy_meas wz_meas x y z q0 q1 q2 q3 vx vy vz ax ay az wx wy wz Fd u1 u2 u3 u4 M1 M2 M3 qdes0 qdes1 qdes2 qdes3
7.077433 nan nan nan nan nan nan nan 1.634181 -1.272890 9.522752 0.029828 0.347287 0.413335 0.882763 0.006816 0.435752 0.906806 -0.088836 -0.089930 -0.402149 0.012990 0.004211 -0.002172 0.000000 0.000000 0.000000 0.019557 0.232522 0.298500 9.495730 3.018075 1.760352 3.180574 1.536729 0.067087 0.048750 0.145078 0.999999 0.000464 -0.001424 -0.000001
7.088103 nan nan nan nan nan nan nan 1.792096 -1.091049 9.891220 0.044742 0.351548 0.447425 0.882902 0.006861 0.435729 0.907565 -0.088385 -0.088706 -0.400805 0.007206 0.006384 -0.001518 0.000000 0.000000 0.000000 0.016344 0.269977 0.328763 9.498250 2.993479 1.803905 3.122235 1.578631 0.067582 0.038627 0.136659 0.999999 0.000686 -0.000835 -0.000001
7.098790 0.883900 0.006400 0.434200 0.909800 -0.084620 -0.086820 -0.396940 1.751421 -1.373382 10.369750 0.033024 0.355277 0.447425 0.882818 0.006723 0.435449 0.906950 -0.088709 -0.089707 -0.401902 0.005094 0.006307 -0.001525 0.000000 0.000000 0.000000 0.013722 0.295889 0.354771 9.493313 2.972065 1.832490 3.083531 1.605228 0.068179 0.033440 0.130894 1.000000 0.000677 -0.000619 -0.000000
7.109510 nan nan nan nan nan nan nan 2.191668 -0.954668 11.489511 0.070842 0.356874 0.499624 0.882873 0.006791 0.435433 0.907860 -0.088176 -0.088129 -0.400310 0.002190 0.006797 0.001112 0.000000 0.000000 0.000000 0.016529 0.310934 0.384295 9.494820 2.939111 1.873304 3.033098 1.649307 0.067199 0.028196 0.122480 1.000000 0.000728 -0.000324 -0.000000
7.120187 nan nan nan nan nan nan nan 2.234736 -1.165221 9.922324 0.079365 0.337699 0.540106 0.882896 0.006863 0.435445 0.908832 -0.087612 -0.086476 -0.398585 -0.000024 0.007580 0.007226 0.000000 0.000000 0.000000 0.019781 0.312218 0.414533 9.489840 2.897670 1.913745 2.985225 1.693199 0.066164 0.026266 0.113798 1.000000 0.000809 -0.000098 -0.000000
7.130919 0.881600 0.006900 0.435700 0.914080 -0.085130 -0.072760 -0.389760 1.849519 -1.600684 10.630549 0.129966 0.312665 0.576326 0.882810 0.006742 0.435358 0.908778 -0.087222 -0.086519 -0.398786 0.001214 0.007013 0.007437 0.000000 0.000000 0.000000 0.038130 0.307821 0.445706 9.491116 2.858035 1.944178 2.948706 1.740197 0.061194 0.027201 0.106118 1.000000 0.000751 -0.000224 -0.000000
7.141628 nan nan nan nan nan nan nan 1.201111 -1.270498 9.960607 0.186960 0.261530 0.584848 0.882823 0.006818 0.435438 0.909886 -0.086585 -0.084894 -0.396741 -0.000048 0.006533 0.011469 0.000000 0.000000 0.000000 0.065558 0.294361 0.473185 9.490929 2.814345 1.973110 2.910356 1.793119 0.053997 0.028803 0.097924 1.000000 0.000703 -0.000095 -0.000000
7.152325 nan nan nan nan nan nan nan 2.229951 -1.390130 9.812262 0.221582 0.236496 0.613078 0.882822 0.006887 0.435561 0.911050 -0.085856 -0.083381 -0.394543 -0.002097 0.006373 0.012201 0.000000 0.000000 0.000000 0.102234 0.276648 0.506671 9.496695 2.762129 2.007408 2.867608 1.859550 0.044358 0.031644 0.088139 1.000000 0.000687 0.000114 0.000000
7.163004 0.880300 0.006600 0.436700 0.917980 -0.086580 -0.068410 -0.380970 1.452339 -1.646144 9.470113 0.315861 0.196015 0.625329 0.882440 0.006654 0.435447 0.911310 -0.086080 -0.082032 -0.394177 -0.010590 0.008189 0.018454 0.000000 0.000000 0.000000 0.149994 0.252469 0.534074 9.485994 2.714936 2.020348 2.838944 1.911765 0.032575 0.037203 0.081088 0.999999 0.000872 0.000986 0.000001
7.173710 nan nan nan nan nan nan nan 1.028840 -1.024055 10.728648 0.387235 0.178437 0.666343 0.882327 0.006741 0.435645 0.912612 -0.085049 -0.080870 -0.391620 -0.015059 0.008409 0.019282 0.000000 0.000000 0.000000 0.210175 0.229820 0.562814 9.490746 2.664458 2.038924 2.803753 1.983611 0.016594 0.041789 0.072284 0.999999 0.000896 0.001444 0.000001
