DfilX DfilY DfilZ DfilQ1 DfilQ2 DfilQ3 DfilQ4 DfildX DfildY DfildZ DfildQ1 DfildQ2 DfildQ3 DfildQ4 w1 w2 w3 fF fL fB fR Eul0 Eul1 Eul2 Fpwm Lpwm Bpwm Rpwm My
-0.249194 0.064657 0.891918 0.984892 -0.001762 0.172978 -0.007961 0.039886 0.129170 0.015852 -0.027062 -0.331951 0.151163 -0.050845 -0.638783 0.302015 -0.214892 18.327948 0.000000 0.000000 0.000000 -0.017329 0.347662 -0.006620 2026365.000000 1000000.000000 1000000.000000 1000000.000000 -6.496769
-0.249109 0.065120 0.891877 0.984746 -0.004445 0.173762 -0.007924 0.018857 0.101362 -0.010743 -0.034678 -0.600658 0.177586 0.005423 -1.187997 0.352239 -0.197033 19.190759 0.000000 0.000000 0.000000 -0.018253 0.349207 -0.012248 2074682.000000 1000000.000000 1000000.000000 1000000.000000 -7.014455
-0.249012 0.065578 0.891758 0.984648 -0.007260 0.174262 -0.006972 0.021131 0.101442 -0.027428 -0.025934 -0.637284 0.114620 0.215545 -1.332098 0.222745 0.203665 17.048859 0.000000 0.000000 0.000000 -0.017311 0.350187 -0.017808 1954736.000000 1000000.000000 1000000.000000 1000000.000000 -5.729315
-0.249068 0.065762 0.891494 0.984612 -0.010451 0.174381 -0.004570 -0.012030 0.041178 -0.058476 -0.009583 -0.722803 0.029433 0.536790 -1.611043 0.043477 0.805502 14.065068 0.000000 0.934932 0.000000 -0.013462 0.350427 -0.023610 1787643.000000 1000000.000000 1052356.000000 1000000.000000 -3.939041
-0.249095 0.066000 0.891264 0.984600 -0.013596 0.174283 -0.001935 -0.005332 0.054023 -0.050480 -0.002696 -0.715104 -0.018621 0.590544 -1.614027 -0.054553 0.913121 12.428525 0.000000 2.571475 0.000000 -0.009102 0.350264 -0.029225 1695997.000000 1000000.000000 1144002.000000 1000000.000000 -2.957115
-0.249249 0.066235 0.891144 0.984536 -0.016532 0.174402 0.000628 -0.033049 0.054342 -0.026380 -0.011338 -0.671518 0.029140 0.574022 -1.522826 0.043198 0.897039 14.062755 0.000000 0.937245 0.000000 -0.004824 0.350567 -0.034434 1787514.000000 1000000.000000 1052485.000000 1000000.000000 -3.937653
-0.249329 0.066766 0.890914 0.984543 -0.018749 0.174112 0.002999 -0.016741 0.119133 -0.048917 0.003187 -0.493742 -0.064144 0.526391 -1.155787 -0.144192 0.862150 10.931145 0.000000 4.068855 0.000000 -0.000663 0.350061 -0.038200 1612144.000000 1000000.000000 1227855.000000 1000000.000000 -2.058687
-0.249767 0.067051 0.890773 0.984711 -0.020529 0.172915 0.004741 -0.098481 0.063185 -0.028596 0.037099 -0.397932 -0.272832 0.389560 -0.919482 -0.562372 0.618038 3.922160 0.000000 11.077840 0.000000 0.002380 0.347701 -0.041272 1219640.000000 1000000.000000 1620359.000000 1000000.000000 2.146704
-0.250609 0.067222 0.890947 0.985199 -0.022888 0.169792 0.005428 -0.185490 0.038557 0.038923 0.103493 -0.522429 -0.687495 0.163081 -1.087499 -1.391577 0.111332 0.000000 0.000000 25.000000 0.000000 0.003102 0.341399 -0.045921 1000000.000000 1000000.000000 2400000.000000 1000000.000000 10.501780
-0.251594 0.067187 0.891032 0.985759 -0.024855 0.166219 0.005694 -0.218197 -0.008598 0.018844 0.121548 -0.432467 -0.789496 0.066879 -0.877800 -1.595313 -0.052545 0.000000 0.000000 25.000000 0.000000 0.003137 0.334172 -0.049888 1000000.000000 1000000.000000 2400000.000000 1000000.000000 12.611414
-0.252698 0.067004 0.891158 0.986508 -0.025559 0.161583 0.006268 -0.244250 -0.041214 0.027523 0.165185 -0.154175 -1.023713 0.134853 -0.352161 -2.078144 0.161843 0.000000 0.000000 25.000000 0.000000 0.004335 0.324807 -0.051094 1000000.000000 1000000.000000 2400000.000000 1000000.000000 17.533374
-0.253993 0.066521 0.891627 0.987324 -0.024915 0.156601 0.006785 -0.286891 -0.106840 0.103612 0.182730 0.143942 -1.101963 0.123498 0.239708 -2.241329 0.231559 0.000000 0.000000 25.000000 0.000000 0.005883 0.314741 -0.049525 1000000.000000 1000000.000000 2400000.000000 1000000.000000 19.265876
-0.254962 0.066151 0.892084 0.987942 -0.024178 0.152791 0.006394 -0.212454 -0.080892 0.100568 0.138951 0.166141 -0.834639 -0.083424 0.349815 -1.689701 -0.156204 0.000000 0.000000 25.000000 0.000000 0.005502 0.307006 -0.048085 1000000.000000 1000000.000000 2400000.000000 1000000.000000 13.826949
-0.255578 0.066090 0.892545 0.988306 -0.022787 0.150617 0.006767 -0.138015 -0.013855 0.103183 0.082506 0.308168 -0.486583 0.083027 0.581293 -0.994594 0.233651 0.000000 0.000000 19.032935 0.000000 0.006821 0.302618 -0.045066 1000000.000000 1000000.000000 2065844.000000 1000000.000000 6.919761
-0.256102 0.066027 0.893052 0.988588 -0.021499 0.148916 0.007411 -0.117182 -0.013434 0.113583 0.064138 0.285522 -0.378198 0.143104 0.519058 -0.777252 0.350766 0.000000 0.000000 15.467623 0.000000 0.008634 0.299195 -0.042187 1000000.000000 1000000.000000 1866186.000000 1000000.000000 4.780574
-0.256524 0.066089 0.893493 0.988822 -0.020685 0.147499 0.006876 -0.095017 0.014571 0.099485 0.051863 0.182807 -0.317546 -0.119905 0.394677 -0.640846 -0.197052 1.757576 0.000000 13.242424 0.000000 0.007839 0.296301 -0.040661 1098424.000000 1000000.000000 1741575.000000 1000000.000000 3.445455
