t ax ay az w1 w2 w3
1.257613 0.423499 0.210553 8.615937 1.434370 -0.793481 0.671407
1.265196 0.378039 0.215339 8.580047 1.434370 -0.640889 0.732444
1.272806 0.330186 0.124418 8.517838 1.281777 -0.518815 0.732444
1.281116 0.296689 0.234480 8.556120 1.373333 -0.549333 0.732444
1.289281 0.272762 0.256014 8.479556 1.342814 -0.640889 0.427259
1.296884 0.251228 0.100491 8.558513 1.373333 -0.610370 0.427259
1.304482 0.181841 0.126811 8.560906 1.403851 -0.488296 0.335704
1.312661 0.224909 -0.327793 8.534587 1.342814 -0.579852 -3.082369
1.320261 0.220124 -0.437855 8.510660 0.488296 -0.946074 -8.270516
1.327867 0.349327 -0.122025 8.656612 2.349925 -1.434370 -13.458663
1.336013 0.272762 -0.224909 8.510660 0.305185 -1.525925 -17.181921
1.345000 -0.035890 -0.062209 8.721213 3.204443 -0.732444 -19.959105
1.353210 0.181841 0.198590 8.182867 1.342814 -0.610370 -19.653920
1.360822 0.478530 -0.143559 8.558513 1.770074 -0.946074 -15.015107
1.369004 -0.452211 -1.569579 9.884042 1.861629 0.946074 -11.261330
1.376631 -0.165093 1.631788 8.783422 -2.197333 -1.525925 -19.470809
1.384823 -0.236872 1.193933 8.737962 1.678518 -0.488296 -13.000885
1.392438 0.480923 0.827857 8.541765 -0.213630 -0.701926 -8.178961
1.400615 0.949883 0.406751 8.481948 -0.305185 -0.885037 -3.021332
1.408214 0.842213 -0.169878 8.592010 0.335704 -0.885037 -1.251259
1.415807 0.456996 0.416321 8.522623 0.549333 -0.518815 0.854518
1.423403 0.327793 1.244179 8.525016 -0.396741 -0.610370 0.305185
1.431561 1.103012 0.150737 8.943730 -1.373333 -0.213630 4.150517
1.439155 0.533561 0.392395 8.673360 -0.762963 -0.122074 7.080294
1.446754 0.399573 -0.100491 9.029865 -0.518815 3.631703 6.988739
1.454928 0.392395 0.153130 9.338517 -3.784295 4.852443 5.676443
1.462515 0.172271 0.208161 8.816919 -6.042665 5.645924 4.455702
1.470670 0.021534 -0.110062 8.474770 -6.469924 4.943999 5.829035
1.478284 0.198590 -0.248836 8.527409 -6.225776 5.371258 5.890072
1.485871 0.007178 -0.236872 8.824097 -5.706961 7.141331 3.357036
1.494040 -0.203375 0.184234 8.752318 -7.293924 8.514664 -0.885037
1.501638 -0.215339 -0.011963 8.446059 -8.270516 7.812738 -4.852443
1.509231 0.007178 0.050246 9.039436 -10.406812 8.941923 -7.141331
1.517420 0.452211 0.724973 9.415082 -14.862514 10.010071 -7.232887
1.525044 0.342149 0.425892 9.149498 -18.921476 9.582812 -5.645924
1.533237 0.066994 -0.095706 8.383850 -21.515549 7.232887 -2.746666
1.540861 -0.720188 -3.684683 7.338261 -19.867550 1.586962 2.075259
1.549041 0.315830 0.064602 7.957958 -15.320292 0.488296 0.305185
1.556655 0.622089 0.055031 8.249861 -9.643849 5.951109 -4.058962
1.564249 0.332579 -0.492886 8.465200 -7.629627 8.850368 -5.188147
1.571834 -0.021534 -0.181841 8.541765 -7.141331 8.362072 -4.425184
1.580000 0.062209 0.189019 8.371886 -8.270516 5.096591 -3.357036
1.587603 0.224909 0.165093 8.532194 -9.186071 2.868740 -1.129185
1.595187 0.538347 0.239265 8.501090 -8.880886 2.685629 0.305185
1.603352 0.344542 0.028712 8.556120 -8.941923 3.021332 1.800592
1.610951 0.148344 -0.425892 8.642256 -9.308145 3.051851 2.868740
1.619124 -0.019141 -0.655586 8.809742 -10.986663 2.868740 2.594073
1.626755 -0.368468 -0.538347 9.087289 -13.794366 4.058962 -0.824000
1.634393 0.110062 0.212946 9.044221 -15.503403 6.317331 -0.946074
1.642591 -0.490493 -0.442640 9.360051 -19.837031 7.660146 -0.335704
1.651056 -0.952275 -1.292032 9.410297 -26.306955 7.019257 3.326518
1.659051 -1.091049 -1.083871 8.881521 -30.426954 6.744591 3.326518
1.667377 -1.114975 -1.490622 9.001154 -34.485916 5.401776 1.037629
1.675100 -0.650801 -1.538475 8.881521 -38.727989 5.401776 -1.556444
1.683295 -0.253621 -1.258535 8.618329 -39.368877 6.897183 -5.401776
1.690916 0.184234 -0.655586 8.467592 -39.460433 9.399701 -6.958220
1.699104 0.598163 -0.356505 8.190045 -37.049471 10.467849 -8.087405
1.706745 0.703439 0.014356 7.919675 -34.424879 8.819849 -7.904294
1.714364 0.593377 0.162700 7.802435 -30.243843 6.836146 -7.660146
1.722559 0.562273 0.643623 7.532066 -24.933622 4.364147 -9.094516
1.730174 0.490493 0.590985 7.692373 -18.616291 2.655110 -9.735405
1.738379 0.495279 0.392395 8.010596 -13.519700 2.227851 -8.331553
1.745993 0.229695 -0.995343 8.438881 -11.932737 1.739555 -8.056887
1.753613 -0.177056 -1.069515 8.422132 -12.176885 1.342814 -6.683554
1.761792 0.023927 -0.780004 8.374279 -13.275552 -1.159703 -5.066073
1.769416 -0.009571 -0.885281 8.702072 -14.831996 -3.357036 -4.242073
1.777592 0.102884 -1.332707 8.824097 -17.334513 -4.364147 -1.525925
1.785223 0.172271 -1.746635 8.527409 -18.311106 -3.784295 2.410962
1.792836 -0.559880 -2.206024 8.041700 -17.090365 -6.836146 8.301035
1.801026 -0.619697 -1.504978 7.905319 -18.036439 -13.855403 11.566515
1.808676 0.229695 -0.583807 8.321641 -18.341624 -15.808588 12.146367
1.816319 0.567058 -0.746507 8.584832 -15.686514 -13.336589 10.864589
1.824541 0.404358 -1.426020 8.448451 -14.770959 -10.986663 11.078219
1.832184 0.043068 -2.131852 8.462807 -16.571551 -12.878811 15.411847
1.840501 -0.413929 -2.490750 8.850417 -21.973327 -17.578661 20.905179
1.848939 -0.600555 -2.280197 8.986798 -29.267251 -24.018067 24.903104
1.857160 -0.478530 -1.495407 8.764281 -40.009766 -33.997620 26.947844
1.864809 -0.220124 -0.071780 9.003546 -47.120579 -41.108432 24.018067
1.873031 0.363683 0.485708 9.407904 -53.437910 -43.580432 14.740440
